Dependent: Adjusted rent,(1),(2),(3),(4),(5),(6)
Ciudad,Bogota,Bogota,Cali,Cali,Medellin,Medellin
Intercept,4176386.454067***,1673884.041312***,1133363.102718***,657175.356651***,1603611.575982***,952158.219363***
,(86698.163782),(71291.132053),(20761.957757),(25480.865642),(24778.159684),(32455.906133)
Post-covid,-136906.392554,93833.356647,84586.546489***,55723.954168*,72686.004275,20203.344722
,(139138.793706),(97367.929152),(30816.886466),(28857.316721),(50914.653734),(46423.308543)
Distance to CBD,-108.551616***,-87.062835***,3.445754,-4.333077,5.750947,-3.876808
,(7.573059),(5.437556),(3.225149),(3.034017),(3.856938),(3.565829)
Post*Distance,9.317349,2.68469,-9.285003*,-5.098681,-12.963138*,-9.778944
,(12.468645),(8.717723),(4.856286),(4.540421),(7.407363),(6.748964)
Controls,No,Yes,No,Yes,No,Yes
Number of obs.,8326.0,8253.0,6249.0,6184.0,5796.0,5683.0
Adj-R2,0.035,0.532,0.001,0.136,0.0,0.18
F-statistic:,101.945,1564.445,2.925,163.254,1.202,209.27
Prob (F-statistic),0.0,0.0,0.033,0.0,0.308,0.0
