Dependent: Adjusted rent,(1),(2),(3),(4),(5),(6)
Ciudad,Quito,Quito,Lima,Lima,Montevideo,Montevideo
Intercept,811.983411***,567.663776***,2410.620143***,1702.582907***,20784.537828***,14741.382624***
,(81.883949),(80.184945),(31.365546),(52.167731),(240.570951),(314.036575)
Post-covid,-246.731111***,-200.958746**,-150.042679***,-264.29267**,-463.532126,-638.653579**
,(92.881515),(82.906055),(46.222472),(133.763594),(320.565185),(317.717696)
Distance to CBD,-0.034493**,-0.02634**,-0.051846***,-0.053872***,-0.035444,-0.147189***
,(0.01436),(0.012855),(0.003292),(0.0035),(0.049055),(0.04876)
Post*Distance,0.02614,0.014314,0.013088***,0.0162,0.129139**,0.196208***
,(0.015797),(0.014046),(0.005075),(0.014851),(0.065163),(0.062118)
Controls,No,Yes,No,Yes,No,Yes
Number of obs.,155.0,155.0,3726.0,1672.0,3455.0,2411.0
Adj-R2,0.082,0.299,0.085,0.239,0.001,0.299
F-statistic:,5.57,11.928,116.352,88.504,1.825,172.413
Prob (F-statistic),0.001,0.0,0.0,0.0,0.14,0.0
